student_id,strata,semester,ip_semester,ipk_total,sks_semester,total_sks,sks_lulus,sks_tidak_lulus,label_kelulusan
1,S2,1,2.259,2.259,21,21,18,3,lulus_tepat_waktu
1,S2,2,1.839,2.077,16,37,30,7,lulus_tepat_waktu
1,S2,3,1.87,2.012,17,54,41,13,lulus_tepat_waktu
2,S1,1,1.725,1.725,19,19,15,4,dropout
2,S1,2,2.166,1.94,18,37,31,6,dropout
2,S1,3,2.124,1.998,17,54,45,9,dropout
2,S1,4,1.546,1.894,16,70,57,13,dropout
2,S1,5,1.774,1.873,15,85,67,18,dropout
2,S1,6,2.059,1.906,18,103,81,22,dropout
2,S1,7,2.06,1.929,18,121,96,25,dropout
2,S1,8,1.672,1.895,18,139,109,30,dropout
2,S1,9,1.759,1.88,18,157,121,36,dropout
2,S1,10,1.874,1.879,16,173,132,41,dropout
2,S1,11,1.469,1.841,18,191,144,47,dropout
3,S1,1,2.585,2.585,22,22,20,2,lulus_tepat_waktu
3,S1,2,3.015,2.784,19,41,39,2,lulus_tepat_waktu
3,S1,3,2.715,2.759,24,65,61,4,lulus_tepat_waktu
3,S1,4,2.864,2.783,20,85,79,6,lulus_tepat_waktu
3,S1,5,2.808,2.788,20,105,97,8,lulus_tepat_waktu
3,S1,6,2.807,2.791,18,123,114,9,lulus_tepat_waktu
3,S1,7,2.834,2.797,21,144,134,10,lulus_tepat_waktu
3,S1,8,2.854,2.804,21,165,154,11,lulus_tepat_waktu
4,S2,1,2.226,2.226,22,22,18,4,lulus_tepat_waktu
4,S2,2,2.023,2.144,15,37,30,7,lulus_tepat_waktu
4,S2,3,2.522,2.258,16,53,45,8,lulus_tepat_waktu
5,S1,1,2.43,2.43,20,20,17,3,lulus_tepat_waktu
5,S1,2,2.673,2.541,17,37,33,4,lulus_tepat_waktu
5,S1,3,3.128,2.747,20,57,52,5,lulus_tepat_waktu
5,S1,4,3.399,2.94,24,81,76,5,lulus_tepat_waktu
5,S1,5,2.642,2.877,22,103,97,6,lulus_tepat_waktu
5,S1,6,2.644,2.84,19,122,115,7,lulus_tepat_waktu
5,S1,7,2.931,2.852,18,140,132,8,lulus_tepat_waktu
5,S1,8,2.686,2.833,18,158,149,9,lulus_tepat_waktu
6,S1,1,2.356,2.356,18,18,16,2,lulus_terlambat
6,S1,2,1.862,2.124,16,34,27,7,lulus_terlambat
6,S1,3,2.769,2.33,16,50,42,8,lulus_terlambat
6,S1,4,2.291,2.319,21,71,61,10,lulus_terlambat
6,S1,5,2.284,2.312,16,87,74,13,lulus_terlambat
6,S1,6,2.034,2.271,15,102,87,15,lulus_terlambat
6,S1,7,2.239,2.267,15,117,100,17,lulus_terlambat
6,S1,8,2.099,2.248,15,132,113,19,lulus_terlambat
6,S1,9,2.152,2.237,18,150,129,21,lulus_terlambat
6,S1,10,2.176,2.23,17,167,143,24,lulus_terlambat
6,S1,11,2.516,2.255,16,183,158,25,lulus_terlambat
7,S1,1,1.835,1.835,18,18,13,5,lulus_terlambat
7,S1,2,2.392,2.088,15,33,25,8,lulus_terlambat
7,S1,3,2.533,2.239,17,50,41,9,lulus_terlambat
7,S1,4,2.318,2.26,18,68,56,12,lulus_terlambat
7,S1,5,2.314,2.271,18,86,72,14,lulus_terlambat
7,S1,6,2.672,2.341,18,104,88,16,lulus_terlambat
7,S1,7,2.754,2.402,18,122,105,17,lulus_terlambat
7,S1,8,2.768,2.453,20,142,124,18,lulus_terlambat
7,S1,9,2.819,2.494,18,160,140,20,lulus_terlambat
7,S1,10,1.982,2.443,18,178,152,26,lulus_terlambat
8,S1,1,2.053,2.053,22,22,19,3,lulus_terlambat
8,S1,2,2.244,2.133,16,38,32,6,lulus_terlambat
8,S1,3,2.85,2.336,15,53,46,7,lulus_terlambat
8,S1,4,2.869,2.482,20,73,64,9,lulus_terlambat
8,S1,5,2.558,2.498,20,93,82,11,lulus_terlambat
8,S1,6,2.829,2.557,20,113,100,13,lulus_terlambat
8,S1,7,2.588,2.562,19,132,118,14,lulus_terlambat
8,S1,8,2.991,2.621,21,153,137,16,lulus_terlambat
8,S1,9,2.603,2.618,21,174,157,17,lulus_terlambat
9,S1,1,3.097,3.097,21,21,21,0,lulus_tepat_waktu
9,S1,2,2.563,2.818,23,44,42,2,lulus_tepat_waktu
9,S1,3,2.585,2.743,21,65,61,4,lulus_tepat_waktu
9,S1,4,2.868,2.77,18,83,77,6,lulus_tepat_waktu
9,S1,5,3.038,2.818,18,101,94,7,lulus_tepat_waktu
9,S1,6,3.377,2.918,22,123,115,8,lulus_tepat_waktu
9,S1,7,2.933,2.92,23,146,136,10,lulus_tepat_waktu
9,S1,8,3.096,2.942,21,167,156,11,lulus_tepat_waktu
10,S1,1,1.935,1.935,19,19,14,5,lulus_terlambat
10,S1,2,2.51,2.189,15,34,28,6,lulus_terlambat
10,S1,3,2.456,2.285,19,53,44,9,lulus_terlambat
10,S1,4,2.195,2.265,15,68,56,12,lulus_terlambat
10,S1,5,2.751,2.353,15,83,70,13,lulus_terlambat
10,S1,6,2.437,2.37,21,104,87,17,lulus_terlambat
10,S1,7,2.167,2.341,17,121,101,20,lulus_terlambat
10,S1,8,2.331,2.34,15,136,114,22,lulus_terlambat
