student_id,strata,semester,ip_semester,ipk_total,sks_semester,total_sks,sks_lulus,sks_tidak_lulus,label_kelulusan
1,S1,1,2.936,2.936,18,18,17,1,lulus_tepat_waktu
1,S1,2,3.236,3.094,20,38,37,1,lulus_tepat_waktu
1,S1,3,2.416,2.831,24,62,57,5,lulus_tepat_waktu
1,S1,4,2.933,2.853,17,79,73,6,lulus_tepat_waktu
1,S1,5,2.809,2.844,20,99,92,7,lulus_tepat_waktu
1,S1,6,3.011,2.871,19,118,110,8,lulus_tepat_waktu
1,S1,7,2.845,2.867,23,141,132,9,lulus_tepat_waktu
1,S1,8,2.947,2.876,19,160,149,11,lulus_tepat_waktu
2,S1,1,2.924,2.924,18,18,17,1,lulus_tepat_waktu
2,S1,2,3.783,3.365,19,37,35,2,lulus_tepat_waktu
2,S1,3,3.669,3.475,21,58,56,2,lulus_tepat_waktu
2,S1,4,3.366,3.444,23,81,79,2,lulus_tepat_waktu
2,S1,5,3.587,3.477,24,105,102,3,lulus_tepat_waktu
2,S1,6,3.632,3.503,21,126,122,4,lulus_tepat_waktu
2,S1,7,3.259,3.466,22,148,144,4,lulus_tepat_waktu
3,S1,1,2.833,2.833,22,22,20,2,lulus_terlambat
3,S1,2,2.954,2.891,20,42,38,4,lulus_terlambat
3,S1,3,2.648,2.815,19,61,55,6,lulus_terlambat
3,S1,4,2.889,2.832,18,79,72,7,lulus_terlambat
3,S1,5,2.658,2.798,19,98,90,8,lulus_terlambat
3,S1,6,2.589,2.766,18,116,106,10,lulus_terlambat
3,S1,7,2.393,2.709,21,137,125,12,lulus_terlambat
3,S1,8,3.201,2.76,16,153,141,12,lulus_terlambat
3,S1,9,2.773,2.762,22,175,161,14,lulus_terlambat
4,S2,1,1.939,1.939,18,18,12,6,lulus_tepat_waktu
4,S2,2,2.665,2.292,17,35,28,7,lulus_tepat_waktu
4,S2,3,2.262,2.281,19,54,44,10,lulus_tepat_waktu
5,S2,1,1.746,1.746,20,20,15,5,dropout
5,S2,2,1.858,1.794,15,35,26,9,dropout
5,S2,3,1.658,1.751,16,51,38,13,dropout
6,S2,1,2.175,2.175,20,20,18,2,lulus_tepat_waktu
6,S2,2,2.44,2.297,17,37,32,5,lulus_tepat_waktu
6,S2,3,2.864,2.475,17,54,47,7,lulus_tepat_waktu
7,S1,1,1.86,1.86,19,19,14,5,dropout
7,S1,2,1.859,1.859,17,36,27,9,dropout
7,S1,3,1.809,1.843,17,53,40,13,dropout
7,S1,4,1.362,1.721,18,71,52,19,dropout
7,S1,5,1.904,1.755,16,87,63,24,dropout
7,S1,6,1.78,1.759,17,104,74,30,dropout
7,S1,7,1.614,1.741,15,119,84,35,dropout
7,S1,8,1.735,1.74,17,136,97,39,dropout
7,S1,9,1.699,1.736,17,153,109,44,dropout
7,S1,10,1.48,1.71,17,170,121,49,dropout
7,S1,11,1.752,1.714,17,187,134,53,dropout
7,S1,12,1.965,1.736,18,205,146,59,dropout
8,S1,1,1.449,1.449,19,19,15,4,dropout
8,S1,2,1.393,1.424,15,34,25,9,dropout
8,S1,3,1.932,1.6,18,52,39,13,dropout
8,S1,4,1.93,1.681,17,69,52,17,dropout
8,S1,5,0.799,1.499,18,87,64,23,dropout
8,S1,6,1.553,1.508,17,104,75,29,dropout
8,S1,7,1.617,1.524,18,122,89,33,dropout
8,S1,8,1.766,1.555,18,140,101,39,dropout
8,S1,9,1.668,1.566,15,155,111,44,dropout
8,S1,10,1.696,1.577,15,170,122,48,dropout
8,S1,11,1.442,1.565,17,187,134,53,dropout
8,S1,12,1.633,1.571,18,205,148,57,dropout
9,S2,1,1.656,1.656,22,22,16,6,dropout
9,S2,2,1.779,1.71,17,39,27,12,dropout
9,S2,3,1.677,1.7,16,55,38,17,dropout
10,S1,1,1.995,1.995,20,20,15,5,dropout
10,S1,2,1.503,1.785,15,35,26,9,dropout
10,S1,3,1.982,1.844,15,50,36,14,dropout
10,S1,4,2.009,1.884,16,66,49,17,dropout
10,S1,5,1.514,1.804,18,84,61,23,dropout
10,S1,6,1.575,1.764,18,102,75,27,dropout
10,S1,7,1.445,1.723,15,117,85,32,dropout
10,S1,8,1.876,1.742,17,134,96,38,dropout
10,S1,9,1.982,1.768,16,150,108,42,dropout
10,S1,10,2.065,1.795,15,165,120,45,dropout
10,S1,11,2.041,1.818,17,182,134,48,dropout
10,S1,12,1.63,1.801,18,200,147,53,dropout
11,S2,1,2.387,2.387,21,21,17,4,lulus_tepat_waktu
11,S2,2,2.674,2.519,18,39,34,5,lulus_tepat_waktu
11,S2,3,2.531,2.523,20,59,53,6,lulus_tepat_waktu
12,S1,1,3.211,3.211,19,19,19,0,lulus_tepat_waktu
12,S1,2,3.328,3.273,21,40,39,1,lulus_tepat_waktu
12,S1,3,3.266,3.27,23,63,62,1,lulus_tepat_waktu
12,S1,4,3.212,3.255,22,85,83,2,lulus_tepat_waktu
12,S1,5,3.047,3.214,21,106,103,3,lulus_tepat_waktu
12,S1,6,3.93,3.342,23,129,126,3,lulus_tepat_waktu
12,S1,7,3.439,3.356,23,152,149,3,lulus_tepat_waktu
13,S1,1,2.464,2.464,18,18,15,3,lulus_terlambat
13,S1,2,2.955,2.71,18,36,32,4,lulus_terlambat
13,S1,3,2.685,2.701,21,57,51,6,lulus_terlambat
13,S1,4,2.527,2.656,20,77,70,7,lulus_terlambat
13,S1,5,2.353,2.591,21,98,87,11,lulus_terlambat
13,S1,6,2.222,2.539,16,114,101,13,lulus_terlambat
13,S1,7,2.681,2.558,18,132,118,14,lulus_terlambat
13,S1,8,2.099,2.503,18,150,132,18,lulus_terlambat
13,S1,9,2.339,2.487,17,167,146,21,lulus_terlambat
14,S1,1,3.525,3.525,21,21,21,0,lulus_tepat_waktu
14,S1,2,2.816,3.147,24,45,43,2,lulus_tepat_waktu
14,S1,3,2.808,3.039,21,66,62,4,lulus_tepat_waktu
14,S1,4,3.328,3.109,21,87,82,5,lulus_tepat_waktu
14,S1,5,3.418,3.169,21,108,102,6,lulus_tepat_waktu
14,S1,6,3.508,3.228,23,131,124,7,lulus_tepat_waktu
14,S1,7,2.781,3.164,22,153,145,8,lulus_tepat_waktu
15,S2,1,2.866,2.866,20,20,18,2,lulus_tepat_waktu
15,S2,2,2.777,2.821,21,41,38,3,lulus_tepat_waktu
16,S3,1,1.121,1.121,22,22,16,6,dropout
16,S3,2,1.203,1.156,17,39,28,11,dropout
16,S3,3,1.955,1.399,17,56,41,15,dropout
16,S3,4,2.408,1.634,17,73,55,18,dropout
17,S2,1,2.132,2.132,18,18,16,2,lulus_tepat_waktu
17,S2,2,2.284,2.201,15,33,29,4,lulus_tepat_waktu
17,S2,3,2.265,2.221,15,48,42,6,lulus_tepat_waktu
18,S1,1,1.84,1.84,22,22,18,4,dropout
18,S1,2,2.216,1.992,15,37,31,6,dropout
18,S1,3,2.562,2.164,16,53,46,7,dropout
18,S1,4,1.524,1.995,19,72,60,12,dropout
18,S1,5,2.174,2.029,17,89,75,14,dropout
18,S1,6,1.859,2.002,17,106,88,18,dropout
18,S1,7,1.849,1.98,18,124,100,24,dropout
18,S1,8,1.363,1.913,15,139,111,28,dropout
18,S1,9,1.707,1.892,16,155,123,32,dropout
18,S1,10,2.288,1.933,18,173,138,35,dropout
18,S1,11,1.92,1.932,18,191,151,40,dropout
19,S1,1,2.423,2.423,21,21,17,4,dropout
19,S1,2,1.799,2.153,16,37,28,9,dropout
19,S1,3,1.665,2.012,15,52,40,12,dropout
19,S1,4,2.085,2.031,18,70,56,14,dropout
19,S1,5,1.689,1.971,15,85,66,19,dropout
19,S1,6,2.079,1.988,16,101,80,21,dropout
19,S1,7,2.362,2.042,17,118,94,24,dropout
19,S1,8,1.44,1.962,18,136,108,28,dropout
19,S1,9,1.75,1.937,18,154,122,32,dropout
19,S1,10,1.919,1.935,18,172,134,38,dropout
19,S1,11,1.609,1.908,16,188,146,42,dropout
20,S1,1,2.154,2.154,18,18,15,3,dropout
20,S1,2,2.738,2.42,15,33,29,4,dropout
20,S1,3,1.183,1.939,21,54,45,9,dropout
20,S1,4,1.594,1.853,18,72,58,14,dropout
20,S1,5,1.866,1.855,17,89,70,19,dropout
20,S1,6,2.857,2.0,15,104,84,20,dropout
20,S1,7,2.105,2.016,19,123,100,23,dropout
20,S1,8,1.764,1.984,18,141,113,28,dropout
20,S1,9,1.527,1.935,17,158,125,33,dropout
20,S1,10,2.28,1.966,16,174,138,36,dropout
20,S1,11,2.047,1.974,18,192,154,38,dropout
21,S2,1,3.075,3.075,18,18,17,1,lulus_tepat_waktu
21,S2,2,3.116,3.097,22,40,39,1,lulus_tepat_waktu
22,S1,1,1.981,1.981,19,19,14,5,dropout
22,S1,2,1.38,1.697,17,36,27,9,dropout
22,S1,3,2.025,1.802,17,53,41,12,dropout
22,S1,4,1.893,1.822,15,68,51,17,dropout
22,S1,5,2.177,1.89,16,84,64,20,dropout
22,S1,6,1.927,1.896,18,102,78,24,dropout
22,S1,7,1.425,1.833,16,118,90,28,dropout
22,S1,8,1.529,1.792,18,136,104,32,dropout
22,S1,9,2.19,1.832,15,151,117,34,dropout
22,S1,10,2.618,1.916,18,169,134,35,dropout
22,S1,11,1.359,1.857,20,189,149,40,dropout
23,S1,1,3.201,3.201,18,18,17,1,lulus_tepat_waktu
23,S1,2,2.885,3.031,21,39,36,3,lulus_tepat_waktu
23,S1,3,3.48,3.188,21,60,57,3,lulus_tepat_waktu
23,S1,4,3.267,3.208,21,81,78,3,lulus_tepat_waktu
23,S1,5,3.725,3.323,23,104,101,3,lulus_tepat_waktu
23,S1,6,3.552,3.361,21,125,122,3,lulus_tepat_waktu
23,S1,7,3.191,3.335,23,148,144,4,lulus_tepat_waktu
24,S2,1,2.043,2.043,22,22,20,2,dropout
